Establishment.id,Establishment.lon,Establishment.lat,
55446,-76.01573,51.63166,
55447,-76.02048,51.77376,
55444,-76.29711,51.60245,
55448,-76.26161,51.74284,
55443,-76.10186,51.72516,
55440,-76.28122,51.76887,
55445,-76.28085,51.59228,
55460,-75.83980,51.73179,
55456,-76.16845,51.67942,
55458,-75.95385,51.65354,
55461,-76.05803,51.69229,
55465,-76.27453,51.74804,
55470,-75.94129,51.76754,
55464,-76.10563,51.72729,
55466,-76.04724,51.69244,
55481,-76.00771,51.63194,
55483,-75.85290,51.66775,
55484,-76.00009,51.61795,
55486,-76.28085,51.59228,
55478,-76.05934,51.64167,
55482,-76.01734,51.71569,
55491,-75.84366,51.73488,
55496,-76.04834,51.66933,
55497,-76.50721,51.61181,
55493,-76.28904,51.73291,
55503,-76.22397,51.65967,
55505,-76.44046,51.98572,
55506,-76.19909,51.75095,
55507,-76.63365,51.88792,
55509,-76.03988,51.64690,
55510,-76.05917,51.65405,
55504,-76.01677,51.82472,
55514,-75.81606,51.73321,
55518,-75.99879,51.61629,
55519,-76.10175,51.72464,
55520,-76.35233,51.74497,
55521,-76.16845,51.67942,
55515,-75.81947,51.66708,
55528,-76.22617,51.80736,
55529,-75.98013,51.60244,
55537,-75.90674,51.60060,
55539,-76.02225,51.69713,
55540,-75.71931,51.71217,
55545,-76.01926,51.63586,
55538,-76.10467,51.72727,
55550,-76.01635,51.77609,
55557,-76.12842,51.74609,
55558,-76.07019,51.90798,
55555,-75.86251,51.73430,
55560,-76.55659,51.76369,
55562,-76.60362,51.78639,
55563,-75.98419,51.69745,
55564,-75.83280,51.73337,
55566,-76.00705,51.77085,
55569,-76.02061,51.83991,
55570,-75.95233,51.67604,
55561,-76.36953,51.91248,
55573,-75.95589,51.67937,
55575,-75.93756,51.66991,
55576,-75.95883,51.65621,
55578,-76.10125,51.72343,
55574,-76.41190,51.50646,
55584,-75.81216,51.67210,
55592,-76.52582,51.78186,
55593,-76.07004,51.69569,
55594,-76.20093,51.66460,
55591,-75.69210,51.65959,
55597,-76.14136,51.83129,
55601,-76.00723,51.62746,
55610,-75.91193,51.66812,
55614,-76.19992,51.66553,
55616,-76.50721,51.61181,
55617,-76.02340,51.64462,
55618,-76.13217,51.83207,
55611,-76.20272,51.73795,
55620,-76.01873,51.77287,
55622,-76.25967,51.60267,
55624,-76.03561,51.69256,
55627,-76.63914,51.89315,
55629,-76.14218,51.76292,
55621,-75.84430,51.73317,
55638,-76.12304,51.72794,
55642,-76.28720,51.60796,
55646,-76.72511,51.91705,
55650,-76.11586,51.74243,
55651,-76.14446,51.85411,
55653,-76.05158,51.64205,
55654,-76.15165,51.76782,
55648,-75.99144,51.77287,
55659,-76.11073,51.74268,
55664,-75.96544,51.68497,
55662,-76.06873,51.63024,
55669,-76.18506,51.95167,
55677,-75.80195,51.73559,
55675,-75.72804,51.71450,
55685,-76.23414,51.68856,
55688,-76.28785,51.60591,
55690,-75.95385,51.65354,
55687,-76.01405,51.72087,
55694,-76.50721,51.61181,
55696,-76.06628,51.78354,
55698,-76.02590,51.69883,
55700,-76.69491,51.88237,
55701,-76.24017,51.65591,
55702,-76.71130,51.91531,
55695,-76.18626,51.77418,
55704,-76.02348,51.77476,
55705,-75.95942,51.65270,
55707,-76.01591,51.77101,
55711,-76.09990,51.71970,
55712,-76.24451,51.58960,
55713,-76.56316,51.53113,
55714,-75.83155,51.73352,
55715,-76.16845,51.67942,
56999,-76.69947,51.88647,
55719,-76.10461,51.72254,
55722,-76.10576,51.72755,
55725,-75.89008,51.58307,
55721,-76.69491,51.88237,
55729,-76.27034,51.64895,
55732,-76.10043,51.72324,
55733,-76.62543,51.87801,
55736,-75.91374,51.67340,
55737,-76.12975,51.83950,
55738,-76.12351,51.74755,
55739,-76.50721,51.61181,
55730,-76.66667,51.76731,
55742,-75.97609,51.68491,
55747,-76.10298,51.72784,
55751,-76.27167,51.61251,
55745,-76.10365,51.63982,
55755,-76.08426,51.76952,
55757,-76.12054,51.74603,
55756,-76.17089,51.68350,
55767,-76.33783,51.56133,
55770,-75.91963,51.67163,
55771,-76.54634,51.55531,
55772,-76.18729,51.80616,
55773,-75.90976,51.75275,
55774,-76.27707,51.70305,
55775,-76.28994,51.72820,
55769,-76.25808,51.74441,
55779,-75.49966,51.68576,
55785,-76.24350,51.59371,
55786,-76.45584,51.85291,
55787,-76.12206,51.74013,
55781,-76.06621,51.68032,
55794,-76.12206,51.74013,
55798,-76.31163,51.55771,
55799,-75.91001,51.76427,
55796,-75.84160,51.73191,
55801,-76.27424,51.63560,
55803,-76.62790,51.83915,
55805,-76.45584,51.85291,
55806,-76.16845,51.67942,
55809,-76.14989,51.85661,
55810,-76.13778,51.83664,
55802,-76.31672,51.90439,
55814,-75.91001,51.76427,
