Establishment.id,Establishment.prop_id
55445,137075
55446,125236
55447,108791
55444,137031
55448,116183
55443,103149
55440,132790
55458,130664
55460,127513
55461,101854
55456,108039
55464,103147
55465,116250
55466,101808
55470,128549
55482,106084
55483,173396
55484,124835
55486,137075
55478,119684
55481,119611
55488,157204
55491,172510
55493,116386
55496,104140
55497,135695
55502,162346
55503,104834
55504,130105
55505,164074
55506,118385
55507,157805
55509,104645
55510,104567
55513,128716
55514,127774
55515,173223
55518,124836
55519,103160
55520,133901
55521,108039
55526,115748
55528,118832
55529,174384
55536,103161
55537,173990
55538,103146
55539,100577
55540,180769
55545,125234
55547,157246
55550,108784
55555,172354
55557,102754
55558,168209
55559,172357
55560,154330
55561,165023
55562,154158
55563,100940
55564,127509
55566,109152
55569,159779
55570,126414
55572,201643
55573,126417
55574,140288
55575,125475
55576,125452
55578,103156
55583,188144
55584,172752
55591,182339
55592,157175
55593,101881
55594,104462
55596,172349
55597,120872
55601,119620
55609,137090
55610,125685
55611,118330
55614,104459
55616,135695
55617,119635
55618,120851
55619,103000
55620,108788
55621,127516
55622,121525
55624,100704
55627,157804
55629,102896
55632,111904
55638,103343
55642,137090
55643,101812
55646,157960
55648,108965
55650,103047
55651,130371
55653,119678
55654,102887
55658,204023
55659,103021
55662,125280
55664,125157
55669,162346
55671,103053
55675,180761
55677,172608
55682,109973
55685,107690
55687,106007
55688,137076
55690,130664
55692,108039
55694,135695
55695,119088
55696,109765
55698,100547
55700,204023
55701,121500
55702,157963
55703,125268
55704,109269
55705,130721
55707,109215
55711,103167
55712,137175
55713,141765
55714,127510
55715,108039
55718,201986
55719,103161
55721,204023
55722,103136
55725,176395
55728,130421
55729,123207
55730,153849
55732,103155
55733,157824
55736,126578
55737,130366
55738,203420
55739,135695
55740,118384
55742,125178
55745,108793
55747,103137
55751,121593
55752,102262
55755,110088
55756,107957
55757,102785
55766,172080
55767,140087
55769,116184
55770,126522
55771,141752
55772,112481
55773,172211
55774,107127
55775,107204
55777,121317
55779,188384
55781,104046
55785,137177
55786,157246
55787,103068
55788,102840
55794,103083
55796,127512
55798,140116
55799,172077
55800,180545
55801,123112
55802,165156
55803,154081
55805,157246
55806,108039
55809,130421
55810,130358
55813,172077
55814,172077
55815,159566
55816,104155
55818,104046
55821,121236
55822,119100
55825,188384
55828,172752
55830,153850
55831,127510
55834,172077
55835,108761
55838,102754
55839,172752
55842,135695
55846,108761
55847,107690
55849,119100
55851,109186
55858,112481
55859,157960
55861,101868
55863,107204
55864,102848
55866,123118
55867,108784
55872,112481
55875,108761
55878,103183
55879,173223
55880,135695
55881,125384
55882,157264
55891,140116
55892,112481
55895,102840
55896,121600
55897,188144
55899,101871
55900,104843
55904,153945
55906,103155
55907,108784
55908,102754
55909,121598
55910,149598
55912,165156
55915,188144
55917,124828
55918,102887
55920,172752
55922,142616
55925,124834
55926,188144
55929,108039
55930,116250
55933,103137
55936,103156
55937,121236
55939,130421
55940,102754
55942,103161
55944,128716
55945,107204
55946,112481
55947,112590
55948,124836
55949,103083
