Est Id,State Id,Premise Name,Premise Address1,Final Score SUM,Insp Type,Calculation1,Permit Status MIN,Territory,Insp Date,Est Type,Type Description,Transitional Type Desc,County,State Id,Premise Address2,Premise City,Premise State,Premise Zip,Premise Phone,Premise Email,Website,Owner Name,Opening Date,Update Date,Status,Grade,Score SUM,Insp Date,Comments
56803,4032011436,THREE SEASONS CATERING,2627 HILLSBOROUGH ROAD,97,1,,A,1,6/4/2008,1,1 - Restaurant,FOOD,32,4032011436,0,DURHAM,NC,27705,0,0,0,0,4/29/2002,12/10/2011,DELETED,A,97,6/4/2008,Have maintenance check walk in refrigerator. Temperature in there reads 55 and above. It's should reads 45 or below.
56142,4032010714,RANDYS PIZZA,1813 MARTIN LUTHER KING PKWY,94.5,1,,U,1,6/5/2008,1,1 - Restaurant,FOOD,32,4032010714,0,DURHAM,NC,27707,0,0,0,0,9/18/1995,12/10/2011,DELETED,A,94.5,6/5/2008,Clean shelving
56695,4032011284,MADHATTER CAFE AND BAKE SHOP,1802 BROAD STREET,92.5,1,,A,1,6/10/2008,1,1 - Restaurant,FOOD,32,4032011284,0,DURHAM,NC,27705,0,0,0,0,5/17/2002,12/10/2011,DELETED,A,92.5,6/10/2008,Cross staked cleaned utensils for thorogh air drying.
57910,4032030103,MFU,2000 N. DUKE STREET,0,1,,A,1,6/10/2008,3,3 - Mobile Food,FOOD,32,4032030103,0,DURHAM,NC,27704,0,0,0,0,9/25/2007,12/10/2011,DELETED,,0,6/10/2008,Report to restaurant daily for cleaning.
56628,4032011217,QUIZNO S SUBS,4900 HWY 55,95,1,,A,1,6/10/2008,1,1 - Restaurant,FOOD,32,4032011217,SUITE 110,DURHAM,NC,27713,(919) 484-7827,0,0,0,11/8/2001,12/10/2011,DELETED,A,95,6/10/2008,"COOLER WITH SALADS 45-MEATS AND MEAT SALAD ON TOP 49-54,CHEESE 58"
60925,4032430172,LOVE AND CARE # 3,215 E LAWSON STREET,16,1,,A,3,6/12/2008,43,43 - Residential Care,N/A,32,4032430172,0,DURHAM,NC,27707,0,0,0,0,6/11/2008,12/10/2011,DELETED,,16,6/12/2008,CLEAN STORAGE AREAS
58037,4032060051,PAUL RIZZO CONFERENCE CTR ADDI,130 DUBOSE LANE,99.5,1,,A,1,6/24/2008,6,6 - Edu. Food Service,FOOD,32,4032060051,LOUDERMILK HALL,CHAPEL HILL,NC,27517,0,0,0,0,5/12/2006,12/10/2011,DELETED,A,97.5,6/24/2008,"Hot water 89 degrees - maintenance has started working on this._x000D_
Fax copy of work order showing correction to Jan Jackson (919)560-7830 within 10 days.  Hot water must be 130 degrees for chemical sanitizing or 140 for hot water sanitizing."
56532,4032011119,PAUL J RIZZO CONFERENCE CENTER,150 DUBOSE HOME LANE,101,1,,A,1,6/24/2008,1,1 - Restaurant,FOOD,32,4032011119,0,CHAPEL HILL,NC,27514,0,0,0,0,7/31/2000,12/10/2011,DELETED,A,99,6/24/2008,Store contents of open bags of food in covered containers (this was done during inspection).
60927,4032430174,DYSRE'S HOUSE,218 CISCO STREET,2,1,,A,9,6/26/2008,43,43 - Residential Care,N/A,32,4032430174,0,DURHAM,NC,27707,0,0,0,0,6/25/2008,7/18/2013,DELETED,,2,6/26/2008,MINOR PAINTING NEEDED
60928,4032430175,A NEW WAY HOME,510 MAYMOUNT DRIVE,10,1,,A,3,6/30/2008,43,43 - Residential Care,N/A,32,4032430175,0,DURHAM,NC,27703-3657,0,0,0,0,6/29/2008,12/10/2011,DELETED,,10,6/30/2008,GASKET ON REFRIGERATOR IN BAD REPAIR.  CLEAN OVEN DRAWER.
