school_year,lea_number,school_number,grade_level,sex,race,attendance
2014,320,310,0,Male,American Indian,1
2014,320,312,11,Male,American Indian,2
2014,320,312,9,Male,American Indian,4
2014,320,316,8,Male,American Indian,1
2014,320,319,2,Male,American Indian,2
2014,320,319,3,Male,American Indian,1
2014,320,319,4,Male,American Indian,3
2014,320,320,2,Male,American Indian,1
2014,320,320,3,Male,American Indian,1
2014,320,320,0,Male,American Indian,2
2014,320,323,11,Male,American Indian,1
2014,320,323,8,Male,American Indian,1
2014,320,324,4,Male,American Indian,1
2014,320,325,11,Male,American Indian,1
2014,320,327,0,Male,American Indian,1
2014,320,332,2,Male,American Indian,1
2014,320,332,5,Male,American Indian,1
2014,320,336,5,Male,American Indian,
2014,320,338,6,Male,American Indian,1
2014,320,339,0,Male,American Indian,1
2014,320,340,3,Male,American Indian,1
2014,320,340,4,Male,American Indian,1
2014,320,340,0,Male,American Indian,1
2014,320,341,8,Male,American Indian,1
2014,320,343,6,Male,American Indian,1
2014,320,343,8,Male,American Indian,1
2014,320,344,0,Male,American Indian,1
2014,320,346,6,Male,American Indian,1
2014,320,352,2,Male,American Indian,1
2014,320,352,0,Male,American Indian,1
2014,320,355,7,Male,American Indian,1
2014,320,356,10,Male,American Indian,2
2014,320,356,11,Male,American Indian,2
2014,320,356,12,Male,American Indian,3
2014,320,360,2,Male,American Indian,1
2014,320,360,0,Male,American Indian,3
2014,320,363,3,Male,American Indian,1
2014,320,363,0,Male,American Indian,2
2014,320,364,3,Male,American Indian,1
2014,320,364,0,Male,American Indian,1
2014,320,365,10,Male,American Indian,1
2014,320,365,11,Male,American Indian,1
2014,320,365,12,Male,American Indian,1
2014,320,365,9,Male,American Indian,6
2014,320,366,6,Male,American Indian,3
2014,320,366,7,Male,American Indian,1
2014,320,366,8,Male,American Indian,1
2014,320,368,10,Male,American Indian,1
2014,320,368,12,Male,American Indian,1
2014,320,369,0,Male,American Indian,1
2014,320,372,4,Male,American Indian,1
2014,320,372,5,Male,American Indian,1
2014,320,376,1,Male,American Indian,1
2014,320,388,1,Male,American Indian,1
2014,320,388,2,Male,American Indian,1
2014,320,388,4,Male,American Indian,1
2014,320,388,5,Male,American Indian,1
2014,320,400,2,Male,American Indian,1
2014,320,700,10,Male,American Indian,2
2014,320,700,9,Male,American Indian,1
2014,320,701,9,Male,American Indian,1
2014,32A,000,8,Male,American Indian,1
2014,32D,000,3,Male,American Indian,1
2014,32D,000,6,Male,American Indian,1
2014,32H,000,3,Male,American Indian,1
2014,32H,000,5,Male,American Indian,2
2014,32L,000,11,Male,American Indian,1
2014,320,306,8,Female,American Indian,1
2014,320,310,0,Female,American Indian,2
2014,320,312,12,Female,American Indian,1
2014,320,312,9,Female,American Indian,5
2014,320,315,2,Female,American Indian,2
2014,320,315,4,Female,American Indian,2
2014,320,316,8,Female,American Indian,1
2014,320,317,12,Female,American Indian,1
2014,320,319,1,Female,American Indian,1
2014,320,319,3,Female,American Indian,2
2014,320,319,4,Female,American Indian,1
2014,320,319,0,Female,American Indian,2
2014,320,320,1,Female,American Indian,1
2014,320,320,5,Female,American Indian,2
2014,320,320,0,Female,American Indian,1
2014,320,323,7,Female,American Indian,2
2014,320,323,8,Female,American Indian,1
